time,node,"idleness,t_imp"
107.89999999999814,2,0.0,0.0
107.89999999999814,3,0.5,0.0
107.89999999999814,4,1.0999999999999999,2.9000000000000004
107.89999999999814,5,2.700000000000001,0.0
107.89999999999814,6,2.1000000000000005,0.0
107.89999999999814,7,1.6000000000000003,0.0
107.89999999999814,8,0.9999999999999999,0.0
107.89999999999814,9,1.7000000000000004,0.0
107.89999999999814,10,0.5,0.0
107.89999999999814,11,2.700000000000001,0.0
107.89999999999814,12,2.2000000000000006,0.0
107.89999999999814,13,0.4,0.0
107.89999999999814,14,2.3000000000000007,0.0
107.89999999999814,15,0.5,0.0
107.89999999999814,16,1.0999999999999999,0.0
107.89999999999814,17,1.6000000000000003,0.0
107.89999999999814,18,0.4,0.0
107.89999999999814,19,2.9000000000000012,0.0
107.89999999999814,20,0.8999999999999999,3.1
107.89999999999814,21,0.4,0.0
107.89999999999814,22,0.4,0.0
107.89999999999814,23,2.700000000000001,0.0
107.89999999999814,24,3.2000000000000015,0.7999999999999985
107.99999999999814,0,3.4000000000000017,0.5999999999999983
107.99999999999814,1,0.1,0.0
107.99999999999814,2,0.1,0.0
107.99999999999814,3,0.6,0.0
107.99999999999814,4,1.2,2.8
107.99999999999814,5,2.800000000000001,0.0
107.99999999999814,6,2.2000000000000006,0.0
107.99999999999814,7,1.7000000000000004,0.0
107.99999999999814,8,1.0999999999999999,0.0
107.99999999999814,9,1.8000000000000005,0.0
107.99999999999814,10,0.0,0.0
107.99999999999814,11,0.0,0.0
107.99999999999814,12,2.3000000000000007,0.0
107.99999999999814,13,0.5,0.0
107.99999999999814,14,2.400000000000001,0.0
107.99999999999814,15,0.6,0.0
107.99999999999814,16,1.2,0.0
107.99999999999814,17,1.7000000000000004,0.0
107.99999999999814,18,0.5,0.0
107.99999999999814,19,3.0000000000000013,0.0
107.99999999999814,20,0.9999999999999999,3.0
107.99999999999814,21,0.5,0.0
107.99999999999814,22,0.5,0.0
107.99999999999814,23,2.800000000000001,0.0
107.99999999999814,24,3.3000000000000016,0.6999999999999984
108.09999999999813,0,3.5000000000000018,0.4999999999999982
108.09999999999813,1,0.2,0.0
108.09999999999813,2,0.2,0.0
108.09999999999813,3,0.7,0.0
108.09999999999813,4,1.3,2.7
108.09999999999813,5,2.9000000000000012,0.0
108.09999999999813,6,2.3000000000000007,0.0
108.09999999999813,7,1.8000000000000005,0.0
108.09999999999813,8,1.2,0.0
108.09999999999813,9,1.9000000000000006,0.0
108.09999999999813,10,0.1,0.0
108.09999999999813,11,0.1,0.0
108.09999999999813,12,2.400000000000001,0.0
108.09999999999813,13,0.6,0.0
108.09999999999813,14,2.500000000000001,0.0
108.09999999999813,15,0.7,0.0
108.09999999999813,16,1.3,0.0
108.09999999999813,17,1.8000000000000005,0.0
108.09999999999813,18,0.0,0.0
108.09999999999813,19,0.0,0.0
108.09999999999813,20,1.0999999999999999,2.9000000000000004
108.09999999999813,21,0.6,0.0
108.09999999999813,22,0.0,0.0
108.09999999999813,23,0.0,0.0
108.09999999999813,24,3.4000000000000017,0.5999999999999983
108.19999999999813,0,3.600000000000002,0.39999999999999813
108.19999999999813,1,0.30000000000000004,0.0
108.19999999999813,2,0.30000000000000004,0.0
108.19999999999813,3,0.7999999999999999,0.0
108.19999999999813,4,1.4000000000000001,2.5999999999999996
108.19999999999813,5,3.0000000000000013,0.0
108.19999999999813,6,2.400000000000001,0.0
108.19999999999813,7,1.9000000000000006,0.0
108.19999999999813,8,1.3,0.0
108.19999999999813,9,2.0000000000000004,0.0
108.19999999999813,10,0.2,0.0
108.19999999999813,11,0.2,0.0
108.19999999999813,12,2.500000000000001,0.0
